"Station","WRapA (kg)","Tara A (kg)","WRapD(kg)","Tara D (kg)","CodBenthos","WBenthos(kg)","Notes Benthos","Litter","Litter(kg)","Notes","Notes shells"
"1","200","100",170,"100","438 nero","5.4","haul sample","nel sacco del benthos",NA,NA,"MUREBRA haul subsample stimarli dal benthos per entrambi i rapidi"
"10","176","100",160,"100","575 nero","4.4","haul sample","nel sacchetto del benthos",NA,NA,NA
"12","140","85",160,"110","313 bianco","3.1","case benthos peso del subsample del benthos senza specie commerciali Test Enrico per bolinus da ristimare il peso subsample benthos. poi li bbiamo presi tutti, il subcmpione è per il test.","litter nel sacco del benthos",NA,NA,"subsample is a test. nel rapi a 100 murebra pesano 685g, preso come test e poi rimessi nel totale"
"13","150","110",140,"90","405 nero","4.3","case benthos","litter nel sacco del benthos",NA,NA,NA
"14","142","92",150,"100","37 rosso","4.7","haul sample","nel sacchetto del benthos",NA,NA,NA
"16","1600","356",1340,"240","59 rosso","12.7","case benthos","litter nel sacco del benthos",NA,NA,"tutte le shell commerciali da stimare dal subsample benthos"
"17","248","82",340,"110","155 rosso","8.7","Case benthos","litter in sacco delbenthos",NA,NA,"stimare tutte le shells commerciali"
"18","100","84",134,"112","249 bianco","5","Case benthos","litter nel sacco benthos",NA,NA,NA
"19","258","118",650,"348","154 rosso","5.7","Case benthos canestrelli da stimare dal subsample","Litter nel sacco benthos",NA,NA,NA
"2","104","90",136,"90","55 rosso","4.5","haul sample","solo nel rapido A",NA,NA,NA
"21","312","120",368,"108","314 bianco","7.5","benthos","litter nel sacco del discard",NA,NA,"murebra e hexatru da stimare dal subsample del benthos"
"22","406","100",580,"100","48 rosso","9.4","haul sample. HOLOFOR n. tot stimare dal subsample, peso tot 2,4; subsample species n. 50 peso 1 kg; HOLOTUB n. tot 1 peso tot 0,1 kg","nel sacchetto del benthos",NA,NA,NA
"23","340","100",460,"100","422 nero","9","prelevato dal rap A. Tolte le oloturie dopo averlo pesato. Holothuria forskali: n. 10 peso 0.2 kg; H. tubulosa n. 2 peso 0,2 kg","nel sacco del benthos",NA,"foto stazione e campioni benthos e litter da rap A",NA
"24","216","104",160,"114","217 bianco","11","haul sample","nel sacco del benthos",NA,NA,"stimare murici da benthos per entrambi i rapidi. Murici separati dal resto del campione di benthos, insacchettati con cod 272 bianco"
"25","122","100",130,"110","464 nero","7.5","haul sample","nel sacchetto del benthos",NA,"pescato un P. aztecus","stimare murici da sample benthos"
"26","115","100",120,"100","180 rosso","4.6","haul sample","nel benthos",NA,NA,NA
"27","870","150",470,"140","26 rosso","10.1","haul sample","retine da cozze impigliate trai denti, non considerarle nel calcolo del rf, peso 1 kg, lunghezza 13 m, vedere foto prese a bordo","nel sacco del benthos",NA,"Murici e canestrelli di entrambi i rapidi da stimare dal benthos"
"28","88","68",102,"88","361 bianco","5","haul sample. Preso campione benthos anche da rap A per tirocinanti, cod 91 rosso","nel sacco del benthos",NA,NA,NA
"29","100","80",110,"80","207 bianco","3.8","haul sample","nel sacco del benthos",NA,NA,NA
"3","240","90",150,"90","456 nero","8.5","haul sample","nel sacco del benthos",NA,NA,"murici da stimare dal benthos"
"30","25.5","no",26.5,"no","35 rosso","6.4","haul sample. Campione dopo risciacquo e senza commerciale e litter (per cfr i due metodi di stima) pesa 4,6 kg. Marthasterias messa nella cassetta del commerciale perché unico individuo nella saccata che non richiede rf","nel sacco del benthos",NA,"peso saccate dalle coffe, più affidabile",NA
"0","222","122",142,"122",NA,NA,NA,NA,NA,"peso saccate dal dinamometro per cfr due metodi di misurazione, non affidabile",NA
"31","1460","460",1200,"no","108 rosso","10","sample benthos haul","nel sacco del benthos",NA,NA,"rapA: raguse 125 rosso; 407 nero canestrelli. rapD: 22 rosso canestrelli; 183 rosso ostriche e raguse."
"32","12","no",26,"no","3 rosso","8","sample haul","nel sacchetto del benthos",NA,"rapidi salpati incrociati; rete del rapido A incastrata tra i denti del rapido D.",NA
"33","360","140",260,"126","81 rosso","8.3","haul sample. Campione ripesato dopo aver tolto commerciale e litter e averlo risciaquato, peso 7,8 kg (info per confrontare i due approcci di sampling)","nel sacco del benthos",NA,NA,NA
"34","24.5","no",19,"no","226 bianco","6.1","haul sample. Sample benthos senza commerciale e dopo averlo risciacquato 4,1 kg (per cfr tra i due metodi)","nel sacco del benthos",NA,"pesate saccate con le coffe",NA
"0","160","130",140,"140",NA,NA,NA,NA,NA,"pesate saccate con dinamometro da gru (info per confronto tra le due modalità)",NA
"35","110","88",150,"112","64 rosso","5","haul sample. Sample sciacquato e senza commerciale e litter pesa 3,6 kg (per cfr due metodiche)","nel sacco del benthos. Pezzo di rete da pesca impigliato nei denti, da non considerare nel calcolo del rf",NA,NA,NA
"36","18","no",16,"no","363 bianco","6.5","sampling haul","nel sacchetto  del benthos",NA,NA,NA
"37","180","108",236,"104","228 bianco","10","Case haul","Litter nel sacco",NA,NA,"MUREBRA e HEXATRU da stimare dal subsample"
"38","156","110",140,"106","297 bianco","6.3","haul sample. Campione benthos sciacquato e senza commerciale pesa 4,8 kg (per cfr due metodi di sampling)","pezzo di rete","0.3","pezzo di rete impigliato tra i denti, da non considerare nel calcolo del rf. Messo assieme al resto del litter nel sacco del benthos",NA
"4","340","148",350,"140","385 bianco","8","haul sample","nel sacco del benthos",NA,NA,"Tutti i Bolinus e Hexaplex rap D nel sacco 182 rosso. Haul sample per stima murici rap A: cod 262 bianco 4,4 kg"
"43","21","no",20,"no","204 bianco","4.6","haul sample","retino da pesca","1.5","fatta foto","haul sample per stima murici: rap D 4,6 kg cod 204 bianco; rap A 4,3 kg cod 534 nero"
"44","142","96",30,"no","299 bianco","5.5","haul sample da rap A","nel sacchetto del benthos",NA,NA,NA
"45","1190","120",920,"100","82 rosso","11.4","haul sample","sacco cod 540 nero",NA,NA,"haul sample per stimare le conchiglie: rap D 11,4 kg cod 82 rosso; rap A 9 kg cod 151 rosso"
"45bis","800","150",1000,"150",NA,"/",NA,"/",NA,NA,"haul sample per stimare murici e pectinidi: rap D 5,5 kg code 304 bianco; rap A 9 kg code 375 bianco"
"46","190","98",230,"160","584 nero","4.2","case benthos peso del subsample del benthos senza specie commerciali","nel sacco del benthos",NA,NA,"murebra e hexatru sorted from total catch of each rapido no need of sub sample"
"47","186","148",134,"112","171 rosso","3.7","case benthos no need of subsample of mure bra and hexatru","litter nel sacco del benthos",NA,NA,NA
