rownames;gear;species_name;length_mm;weight_g;Sex;Mat;id_specimen;length_field2;length_field3;total_number;subsample_number;kg_field1;kg_field2;kg_field3;haul_weight;type_subsample;Notes;ID;haul
186;D;RAPAVEN;0;220;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;186;cala_10
187;NA;MYTGALL;0;16;NA;0;1;0;0;1;0;0;0;0;0;NA;NA;187;cala_10
188;NA;MELIKER;36;19;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;188;cala_10
495;D;HEXATRU;0;23;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;495;cala_13
496;NA;MELIKER;32;19;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;496;cala_13
497;NA;ARNOLAT;25;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;497;cala_13
498;NA;SQUIMAN;28;5;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;498;cala_13
126;D;MELIKER;29;17;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;126;cala_14
127;NA;ARNOLAT;99;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;127;cala_14
128;NA;NA;63;11;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;128;cala_14
129;NA;EUTRGUR;131;19;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;129;cala_14
130;NA;AEQUOPE;29;4;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;130;cala_14
131;NA;NA;32;6;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;131;cala_14
132;NA;NA;26;4;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;132;cala_14
133;NA;NA;4;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;133;cala_14
134;NA;MYTGALL;0;24;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;134;cala_14
135;NA;ELEDMOS;26;4;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;135;cala_14
300;NA;SQUIMAN;22;12;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;300;cala_18
59;D;SQUIMAN;23;0;F;2;NA;0;0;0;0;0;0;0;0;NA;NA;59;cala_2
60;NA;HEXATRU;0;433;NA;0;NA;0;0;21;0;0;0;0;0;NA;NA;60;cala_2
61;NA;MUREBRA;0;413;NA;0;NA;0;0;107;0;0;0;0;0;NA;NA;61;cala_2
87;D;MELIKER;0;10;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;87;cala_21
88;NA;NATISTE;0;4;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;88;cala_21
89;NA;MYTGALL;0;8;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;89;cala_21
90;A;PECTJAC;55;18;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;90;cala_23
91;NA;AEQUOPE;12;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;91;cala_23
92;NA;NA;15;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;92;cala_23
93;NA;NA;11;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;93;cala_23
239;D;CHLAGLA;24;2;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;239;cala_24
240;NA;NA;0;0;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;240;cala_24
157;D;MELIKER;23;6;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;157;cala_25
158;D;HEXATRU;0;0;NA;0;NA;0;0;0;66;7.5;0.614;0;20;C2_haul;NA;158;cala_25
159;NA;MUREBRA;0;0;NA;0;NA;0;0;0;135;7.5;0.42;0;20;C2_haul;NA;159;cala_25
160;A;HEXATRU;0;0;NA;0;NA;0;0;0;66;7.5;0.614;0;22;C2_haul;NA;160;cala_25
161;NA;MUREBRA;0;0;NA;0;NA;0;0;0;135;7.5;0.42;0;22;C2_haul;NA;161;cala_25
251;D;MUREBRA;0;9;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;251;cala_28
81;D;HEXATRU;0;112;NA;0;NA;0;0;3;0;0;0;0;0;NA;NA;81;cala_29
82;NA;GOBISUE;52;1;NA;0;NA;0;0;NA;0;0;0;0;0;NA;NA;82;cala_29
53;D;PECTJAC;64;37;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;53;cala_3
54;NA;ARNOLAT;129;99;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;54;cala_3
55;NA;AEQUOPE;16;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;55;cala_3
56;NA;NA;10;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;56;cala_3
57;NA;NA;10;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;57;cala_3
58;NA;NA;3;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;58;cala_3
59;NA;NA;4;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;59;cala_3
60;D;MAJASQU;0;8;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;60;cala_3
61;NA;MAJACRI;0;1;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;61;cala_3
135;D;MUREBRA;0;32;NA;0;NA;0;0;4;0;0;0;0;0;NA;NA;135;cala_33
136;NA;OSTREDU;0;6;NA;0;NA;0;0;2;0;0;0;0;0;NA;NA;136;cala_33
137;NA;AEQUOPE;22;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;137;cala_33
138;NA;NA;19;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;138;cala_33
139;NA;NA;18;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;139;cala_33
140;NA;NA;10;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;140;cala_33
141;NA;NA;9;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;141;cala_33
