"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g"
"D","ELEDMOS",80,NA,NA,NA,NA,NA
NA,NA,90,NA,NA,NA,NA,NA
NA,NA,100,NA,NA,NA,NA,NA
NA,"PECTJAC",79,NA,NA,NA,NA,NA
NA,NA,70,NA,NA,NA,NA,NA
NA,NA,77,NA,NA,NA,NA,NA
NA,NA,85,NA,NA,NA,NA,NA
NA,NA,80,NA,NA,NA,NA,NA
NA,NA,74,NA,NA,NA,NA,NA
NA,NA,72,NA,NA,NA,NA,NA
NA,NA,73,NA,NA,NA,NA,NA
NA,NA,72,NA,NA,NA,NA,NA
NA,NA,80,NA,NA,NA,NA,NA
NA,NA,75,NA,NA,NA,NA,NA
NA,NA,59,NA,NA,NA,NA,NA
NA,"Cassidaria",NA,NA,NA,NA,11,300
NA,"SQUIMAN",29,NA,"M",NA,NA,NA
NA,NA,32,NA,"M",NA,NA,NA
NA,NA,30,NA,"M",NA,NA,NA
NA,NA,32,NA,"M",NA,NA,NA
NA,NA,26,NA,"M",NA,NA,NA
NA,NA,28,NA,"M",NA,NA,NA
NA,NA,26,NA,"M",NA,NA,NA
NA,NA,27,NA,"M",NA,NA,NA
NA,NA,27,NA,"M",NA,NA,NA
NA,NA,32,NA,"M",NA,NA,NA
NA,NA,30,NA,"M",NA,NA,NA
NA,NA,27,NA,"F",2,NA,NA
NA,NA,28,NA,"F",NA,NA,NA
NA,NA,29,NA,"F",NA,NA,NA
NA,NA,28,NA,"F",NA,NA,NA
NA,NA,26,NA,"F",NA,NA,NA
NA,NA,24,NA,"F",1,NA,NA
