"Gear","Species","Lenght","Sex","Mat","Total weight (kg)","Number"
"D","SOLEVUL",225,"M",1,1.5,NA
NA,NA,200,"M",1,NA,NA
NA,NA,227,"f",1,NA,NA
NA,NA,225,"M",3,NA,NA
NA,NA,237,"M",1,NA,NA
NA,NA,185,"M",1,NA,NA
NA,NA,196,"M",1,NA,NA
NA,NA,198,"F",1,NA,NA
NA,NA,215,"M",2,NA,NA
NA,NA,200,"F",1,NA,NA
NA,NA,195,"M",2,NA,NA
NA,NA,225,"F",2,NA,NA
NA,NA,206,"M",2,NA,NA
NA,NA,235,"M",2,NA,NA
NA,NA,223,"M",2,NA,NA
NA,NA,195,"F",1,NA,NA
NA,NA,196,"F",1,NA,NA
NA,NA,206,"F",1,NA,NA
NA,NA,195,"M",1,NA,NA
NA,NA,235,"M",2,NA,NA
NA,NA,225,"M",2,NA,NA
NA,NA,175,"F",1,NA,NA
"A","SOLEVUL",218,"f",2,2.1,NA
NA,NA,219,"m",2,NA,NA
NA,NA,202,"m",2,NA,NA
NA,NA,239,"m",2,NA,NA
NA,NA,222,"f",2,NA,NA
NA,NA,232,"m",2,NA,NA
NA,NA,209,"f",1,NA,NA
NA,NA,205,"f",1,NA,NA
NA,NA,223,"m",2,NA,NA
NA,NA,213,"f",1,NA,NA
NA,NA,227,"m",3,NA,NA
NA,NA,230,"m",3,NA,NA
NA,NA,233,"m",2,NA,NA
NA,NA,215,"m",2,NA,NA
NA,NA,200,"m",2,NA,NA
NA,NA,240,"m",2,NA,NA
NA,NA,240,"f",2,NA,NA
NA,NA,241,"m",2,NA,NA
NA,NA,251,"m",2,NA,NA
NA,NA,234,"f",1,NA,NA
NA,NA,243,"f",2,NA,NA
NA,NA,240,"m",3,NA,NA
