"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"A","CALLSAP",59,191,"F",2,NA,141,0,0,0,0,0,0,0,NA,NA,1
2,NA,"TRIGLUC",259,168,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,"OSTREDU",0,56,NA,0,NA,0,0,2,0,0,0,0,0,NA,NA,3
4,NA,"SQUIMAN",30,48,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,"TONNGAL",0,223,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,5
6,NA,"SQUIMAN",33,65,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,NA,15,5,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,NA,33,56,"F",3,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,NA,26,27,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,"GOBINIG",133,27,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,"ARNOLAT",114,12,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,"RAJAAST",487,804,"F",2,NA,264,334,0,0,0,0,0,0,NA,NA,12
13,NA,"SOLEVUL",252,129,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,256,155,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,NA,240,110,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,252,133,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,NA,237,114,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,NA,268,165,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,"D","TRIGLUC",223,106,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,NA,235,128,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,NA,232,125,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,21
22,NA,NA,251,141,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,22
23,NA,NA,232,132,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,23
24,NA,NA,262,165,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,24
25,NA,NA,179,47,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,25
26,NA,"GOBINIG",95,9,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,26
27,NA,NA,109,12,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,27
28,NA,"OSTREDU",0,121,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,28
29,NA,"SQUIMAN",27,35,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,29
