"rownames","gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
1,"D","SCORNOT",67,6,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,1
2,NA,"SOLEKLE",0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,2
3,NA,"SERAHEP",105,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,3
4,NA,NA,72,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,4
5,NA,NA,87,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,5
6,NA,NA,75,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,6
7,NA,NA,75,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,7
8,NA,NA,79,64,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,8
9,NA,"GOBINIG",95,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,9
10,NA,NA,105,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,10
11,NA,NA,66,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,11
12,NA,NA,72,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,12
13,NA,NA,60,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,13
14,NA,NA,62,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,14
15,NA,NA,67,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,15
16,NA,NA,65,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,16
17,NA,NA,68,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,17
18,NA,NA,75,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,18
19,NA,NA,65,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,19
20,NA,NA,70,55,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,20
21,NA,"ARNOLAT",84,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,21
22,NA,NA,102,18,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,22
23,NA,"BUGLLUT",100,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,23
24,NA,NA,97,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,24
25,NA,"ELEDMOS",80,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,25
26,NA,NA,65,250,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,26
27,NA,"MONOHIS",72,5,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,27
28,NA,"SEPIOFF",88,94,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,28
29,NA,NA,85,96,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,29
