Station,Stratum,year,SweptArea
1,STR1_17,2019,0.035993338
1,STR1_17,2020,0.0243761
1,STR1_17,2021,0.02349296
1,STR1_17,2022,0.029251318
10,STR2_17,2019,0.03656774
10,STR2_17,2020,0.03656774
10,STR2_17,2021,0.0359
10,STR2_17,2022,0.0359
12,STR1_17,2019,0.03656774
12,STR1_17,2020,0.03656774
12,STR1_17,2021,0.03656774
12,STR1_17,2022,0.03656774
13,STR2_17,2019,0.03656774
13,STR2_17,2020,0.03656774
13,STR2_17,2021,0.03723548
13,STR2_17,2022,0.03656774
14,STR2_17,2019,0.03656774
14,STR2_17,2020,0.03723548
14,STR2_17,2021,0.0359
14,STR2_17,2022,0.0359
16,STR1_17,2019,0.03656774
16,STR1_17,2020,0.03723548
16,STR1_17,2021,0.0359
16,STR1_17,2022,0.037896041
17,STR1_17,2019,0.0243761
17,STR1_17,2020,0.018280279
17,STR1_17,2021,0.018280279
17,STR1_17,2022,0.01894802
18,STR2_17,2019,0.03656774
18,STR2_17,2020,0.03656774
18,STR2_17,2021,0.0359
18,STR2_17,2022,0.03656774
19,STR2_17,2019,0.018280279
19,STR2_17,2020,0.018280279
19,STR2_17,2021,0.017289439
19,STR2_17,2022,0.018280279
2,STR1_17,2019,0.03723548
2,STR1_17,2020,0.03656774
2,STR1_17,2021,0.03723548
2,STR1_17,2022,0.03723548
21,STR1_17,2019,0.03656774
21,STR1_17,2020,0.03656774
21,STR1_17,2021,0.0359
21,STR1_17,2022,0.03723548
22,STR3_17,2019,0.018280279
22,STR3_17,2020,0.018280279
22,STR3_17,2021,0.01795
22,STR3_17,2022,0.01795
23,STR3_17,2019,0.018280279
23,STR3_17,2020,0.018280279
23,STR3_17,2021,0.01795
23,STR3_17,2022,0.01795
24,STR1_17,2019,0.03656774
24,STR1_17,2020,0.03656774
24,STR1_17,2021,0.03723548
24,STR1_17,2022,0.0359
25,STR1_17,2019,0.03723548
25,STR1_17,2020,0.03656774
25,STR1_17,2021,0.03723548
25,STR1_17,2022,0.037896041
26,STR3_17,2019,0.03656774
26,STR3_17,2020,0.03656774
26,STR3_17,2021,0.035239439
26,STR3_17,2022,0.0359
27,STR1_17,2019,0.037896041
27,STR1_17,2020,0.03723548
27,STR1_17,2021,0.03656774
27,STR1_17,2022,0.0345717
28,STR1_17,2019,0.03656774
28,STR1_17,2020,0.03723548
28,STR1_17,2021,0.03656774
28,STR1_17,2022,0.03723548
29,STR2_17,2019,0.03723548
29,STR2_17,2020,0.03723548
29,STR2_17,2021,0.03656774
29,STR2_17,2022,0.03656774
3,STR1_17,2019,0.01241422
3,STR1_17,2020,0.012191639
3,STR1_17,2021,0.00609582
3,STR1_17,2022,0.00609582
30,STR3_17,2019,0.03656774
30,STR3_17,2020,0.03656774
30,STR3_17,2021,0.03656774
30,STR3_17,2022,0.03656774
31,STR1_17,2019,0.03656774
31,STR1_17,2020,0.0359
31,STR1_17,2021,0.0359
31,STR1_17,2022,0.03723548
32,STR3_17,2019,0.03656774
32,STR3_17,2020,0.03656774
32,STR3_17,2021,0.035239439
32,STR3_17,2022,0.03723548
33,STR1_17,2019,0.026817299
33,STR1_17,2020,0.03723548
33,STR1_17,2021,0.037896041
33,STR1_17,2022,0.037896041
34,STR1_17,2019,0.03656774
34,STR1_17,2020,0.03656774
34,STR1_17,2021,0.03656774
35,STR3_17,2019,0.03656774
35,STR3_17,2020,0.03656774
35,STR3_17,2021,0.03656774
35,STR3_17,2022,0.03656774
36,STR3_17,2019,0.0359
36,STR3_17,2020,0.03656774
36,STR3_17,2021,0.03656774
36,STR3_17,2022,0.03656774
37,STR1_17,2019,0.03656774
37,STR1_17,2020,0.03723548
37,STR1_17,2021,0.0359
37,STR1_17,2022,0.0359
38,STR3_17,2019,0.03656774
38,STR3_17,2020,0.03656774
38,STR3_17,2021,0.0359
38,STR3_17,2022,0.0359
4,STR1_17,2019,0.03723548
4,STR1_17,2020,0.03656774
4,STR1_17,2021,0.03723548
4,STR1_17,2022,0.03723548
43,STR1_17,2019,0.03102478
43,STR1_17,2020,0.03723548
43,STR1_17,2021,0.00418953
43,STR1_17,2022,0.014625659
44,STR1_17,2019,0.03723548
44,STR1_17,2020,0.03723548
44,STR1_17,2021,0.0359
44,STR1_17,2022,0.0359
45,STR1_SLO,2019,0.00609582
45,STR1_SLO,2020,0.00554296
45,STR1_SLO,2021,0.00609582
45,STR1_SLO,2022,0.00620352
46,STR1_17,2019,0.03656774
46,STR1_17,2020,0.03656774
46,STR1_17,2021,0.03656774
46,STR1_17,2022,0.03656774
47,STR1_17,2019,0.03656774
47,STR1_17,2020,0.03656774
47,STR1_17,2021,0.03656774
47,STR1_17,2022,0.03723548
48,STR1_17,2019,0.0243761
48,STR1_17,2020,0.0243761
48,STR1_17,2021,0.032309998
48,STR1_17,2022,0.035239439
49,STR1_17,2019,0.03656774
49,STR1_17,2020,0.03656774
49,STR1_17,2021,0.035239439
49,STR1_17,2022,0.03723548
5,STR1_17,2019,0.03723548
5,STR1_17,2020,0.03656774
5,STR1_17,2021,0.03723548
5,STR1_17,2022,0.03723548
50,STR1_17,2019,0.03656774
50,STR1_17,2020,0.03723548
50,STR1_17,2021,0.0359
50,STR1_17,2022,0.0359
51,STR2_17,2019,0.03656774
51,STR2_17,2020,0.03656774
51,STR2_17,2021,0.033422899
51,STR2_17,2022,0.033422899
53,STR2_17,2019,0.018280279
53,STR2_17,2020,0.018280279
53,STR2_17,2021,0.01795
53,STR2_17,2022,0.01795
54,STR2_17,2019,0.03656774
54,STR2_17,2020,0.03723548
54,STR2_17,2021,0.0359
54,STR2_17,2022,0.0359
55,STR1_17,2019,0.03656774
55,STR1_17,2020,0.0359
55,STR1_17,2021,0.033243399
55,STR1_17,2022,0.029251318
56,STR1_17,2019,0.03656774
56,STR1_17,2020,0.03656774
56,STR1_17,2021,0.03656774
56,STR1_17,2022,0.03656774
57,STR1_17,2019,0.03723548
57,STR2_17,2020,0.03723548
57,STR1_17,2021,0.0359
57,STR2_17,2022,0.03656774
58,STR2_17,2019,0.03723548
58,STR2_17,2020,0.03723548
58,STR2_17,2021,0.0359
58,STR2_17,2022,0.0359
59,STR2_17,2019,0.03656774
59,STR2_17,2020,0.03656774
59,STR2_17,2021,0.03656774
59,STR2_17,2022,0.03723548
6,STR1_17,2019,0.018280279
6,STR1_17,2020,0.01861774
6,STR1_17,2021,0.01795
6,STR1_17,2022,0.01795
60,STR2_17,2019,0.01861774
60,STR2_17,2020,0.01861774
60,STR2_17,2021,0.01950088
60,STR2_17,2022,0.01950088
61,STR2_17,2019,0.03656774
61,STR2_17,2020,0.03656774
61,STR2_17,2021,0.026329059
61,STR2_17,2022,0.03723548
62,STR2_17,2019,0.03656774
62,STR2_17,2020,0.03656774
62,STR2_17,2021,0.0359
62,STR2_17,2022,0.03656774
63,STR1_17,2019,0.03656774
63,STR1_17,2020,0.03656774
63,STR1_17,2021,0.03723548
63,STR1_17,2022,0.032913119
64,STR1_17,2019,0.0243761
64,STR1_17,2020,0.03656774
64,STR1_17,2021,0.03656774
64,STR1_17,2022,0.030471919
65,STR1_17,2019,0.030471919
65,STR1_17,2020,0.03656774
65,STR1_17,2021,0.03656774
65,STR1_17,2022,0.037788339
