"Gear","Species","Lenght","Sex","Mat","Total weight","Number"
"a","solevul",166,"m",1,40,NA
NA,NA,156,"m",1,35,NA
NA,NA,240,"f",2,132,NA
NA,NA,183,"m",1,56,NA
NA,NA,244,"f",2,132,NA
NA,NA,247,"f",2,156,NA
NA,NA,181,"f",1,49,NA
NA,NA,242,"f",2,130,NA
NA,NA,174,"m",1,52,NA
NA,NA,173,"m",1,43,NA
NA,NA,172,"f",1,46,NA
NA,NA,185,"m",1,59,NA
NA,NA,241,"f",2,137,NA
NA,NA,159,"f",1,36,NA
NA,NA,153,"f",1,37,NA
NA,NA,160,"f",1,38,NA
NA,NA,181,"m",1,51,NA
NA,NA,230,"f",2,128,NA
NA,NA,241,"m",2,134,NA
NA,NA,168,"m",1,47,NA
NA,NA,240,"f",2,118,NA
NA,NA,232,"m",2,114,NA
NA,NA,230,"f",3,125,NA
NA,NA,246,"f",3,145,NA
NA,NA,185,"m",1,63,NA
NA,NA,166,"m",1,43,NA
NA,NA,170,"m",1,45,NA
NA,NA,178,"f",1,51,NA
NA,NA,167,"m",1,48,NA
NA,NA,170,"f",1,49,NA
NA,NA,193,"m",2,68,NA
NA,NA,192,"m",1,69,NA
NA,NA,262,"f",2,167,NA
NA,NA,231,"m",2,105,NA
NA,NA,184,"f",1,52,NA
NA,NA,165,"m",1,45,NA
NA,NA,168,"m",1,43,NA
NA,NA,236,"f",2,108,NA
NA,NA,185,"f",1,55,NA
NA,NA,248,"f",2,146,NA
NA,NA,240,"m",2,117,NA
NA,NA,180,"f",1,44,NA
NA,NA,164,"f",1,46,NA
NA,NA,167,"m",1,54,NA
NA,NA,175,"f",1,48,NA
NA,NA,176,"m",1,48,NA
NA,NA,215,"m",1,80,NA
NA,NA,239,"f",2,124,NA
